"type_maison","commodites","localite","loyer","telephone","date_publication"
"villa","4 chambres, carrelee, cuisine, douche, plafonnee, ventilee","toeghin","125000","70 36 73 03","2023-12-01"
"chambre salon","auvent, carrele, courcommune, douche interne, plafonne, vitre","tanghin","30000","69 01 07 75","2023-12-01"
"chambre salon","douche, plafonne, ventile","tanghin","35000","79 31 67 00","2023-12-01"
"chambre salon","carrele, courcommune, douche, plafonne, ventile, vitre","tanghin","40000","69 01 07 75","2023-12-01"
"chambre salon","auvent, carrele, courunique, cuisine, douche, garage, plafonne, ventile, vitre","sambin barrage","65000","69 01 07 75","2023-12-01"
"villa","ventilé, Carrellé","kouritenga","50000","55 66 03 77","2023-12-01"
"chambre salon","carrele, douche interne, ventile","université de ouagadougou","50000","66 92 73 75","2023-12-01"
"mini villa","2 chambres, carrele, cuisine, douche, garage, plafonne, ventile, vitre","nioko ii","784275","78 42 75 00","2023-12-01"
"duplex","chauffe eau, climatisee, cuisine, garage, jardin, placards","cité azimo","600000","74 05 32 53","2023-12-01"
"villa","ventilé, Carrellé","cité azimo","52500","54 25 88 98","2023-12-01"
"duplex","04 chambres, cuisine, douche, garage, placard, vitre","kouritenga","400000","73 90 69 01","2023-11-30"
"chambre salon","cour unique, cuisine, douche, garage, plafonne","sakoula","55000","73 42 22 22","2023-11-30"
"chambre salon","douche interne","belle-ville","30000","74 05 32 53","2023-11-30"
"chambre salon","carrele, courcommune, plafonne","sakoula","25000","69 01 07 75","2023-11-30"
"chambre salon","carrele, cour commune, douche interne, ventile","université de ouagadougou","50000","66 92 73 75","2023-11-30"
"chambre salon","douche, plafonne, ventile, vitre","tanghin","25000","79 31 67 00","2023-11-30"
"chambre salon","auvent, carrele, courcommune, douche, plafonne, ventile, vitre","tanghin","25000","69 01 07 75","2023-11-30"
"mini villa","3 chambres, cuisine, douche, garage","garghin","125000","74 05 32 53","2023-11-30"
"villa","ventilé, Carrellé","zone commerciale","150000","79 31 67 00","2023-11-30"
"chambre salon","cuisine, douche, garage, plafonne, ventile, vitre","sakoula","200000","79 31 67 00","2023-11-30"
"mini villa","2 chambres, carrele, cuisine, douche, garage, plafonne, ventile, vitre","nioko ii","784275","78 42 75 00","2023-11-30"
"chambre salon","cuisine, douche, garage","sambin barrage","75000","79 31 67 00","2023-11-30"
"mini villa","2 chambres, cour unique, cuisine, douche, placards","cité azimo","75000","74 05 32 53","2023-11-30"
"villa","ventilé, Carrellé","tanghin","85000","79 31 67 00","2023-11-30"
"chambre salon","carrele, cuisine, douche, ventile, vitre","sakoula","50000","66 92 73 75","2023-11-30"
"chambre salon","carrele, cour commune, douche, ventile","sakoula","60000","66 92 73 75","2023-11-30"
"chambre salon","cour commune, douche interne","tanghin","25000","07 44 69 24","2023-11-28"
"mini villa","3 chambres, climatise, cuisine, douche","pissy","125000","74 05 32 53","2023-11-29"
"villa","ventilé, Carrellé","kouritenga","50000","55 66 03 77","2023-11-29"
"chambre salon","auvent, carrele, courcommune, douche, plafonne, ventile, vitre","tanghin","25000","69 01 07 75","2023-11-29"
"chambre salon","carrele, cuisine, douche, garage, ventile, vitre","sambin barrage","125000","78 42 75 00","2023-11-29"
"chambre salon","cuisine, douche","nagrin","60000","74 05 32 53","2023-11-29"
"maison","2 chambres, carrele, climatisee, cuisine, douche, garage, placards, plafonne, ventile, vitre","bendogo","150000","52 25 18 65","2023-11-29"
"chambre salon","cuisine, douche, garage, plafonne","tanghin","80000","79 31 67 00","2023-11-29"
"chambre salon","cour commune, douche interne, plafonne","kamboincé","25000","62 88 38 82","2023-11-29"
"chambre salon","cour commune, cuisine, plafonne","bonheur-ville","60000","66 92 73 75","2023-11-29"
"mini villa","auvent, carrele, climatisee, courunique, cuisine, douche, garage, plafonne, ventile, vitre","pissy","80000","69 01 07 75","2023-11-29"
"mini villa","2 chambres, cuisine, douche","zoodnoma","120000","74 05 32 53","2023-11-29"
"chambre salon","cour commune, cuisine, douche, eau courante, vitre","kouritenga","200000","73 90 69 01","2023-11-29"
"chambre salon","douche interne, plafonne","song-naaba","27500","78 42 75 00","2023-11-29"
"mini villa","2 chambres, cuisine, douche","zoodnoma","80000","74 05 32 53","2023-11-29"
"mini villa","2 chambres, cuisine, douche","zoodnoma","100000","74 05 32 53","2023-11-29"
"villa","ventilé, Carrellé","camp militaire","800000","74 78 40 68","2023-11-29"
"villa","carrele, plafonne","sakoula","50000","66 92 73 75","2023-11-28"
"maison","2 chambres, carrele, cuisine, douche, plafonne, ventile, vitre","kouritenga","60000","66 92 73 75","2023-11-28"
"mini villa","auvent, carrele, courunique, cuisine, douche, garage, plafonne, ventile, vitre","tanghin","75000","69 01 07 75","2023-11-28"
"villa","climatisee, cuisine, placard","université de ouagadougou","15000","74 05 32 53","2023-11-28"
"mini villa","2 chambres, cuisine, douche, placard","kossodo","150000","74 05 32 53","2023-11-28"
"chambre salon","cuisine, douche, plafonne, ventile, vitre","tanghin","50000","79 31 67 00","2023-11-28"
"chambre salon","carrele, courcommune, douche interne, placards, plafonne, ventile, vitre","tanghin","30000","69 01 07 75","2023-11-28"
"chambre salon","cuisine, douche, garage, plafonne, ventile, vitre","tanghin","75000","79 31 67 00","2023-11-28"
"villa","4 chambres, climatise, cuisine, douche, piscine, placards","cité azimo","450000","74 05 32 53","2023-11-28"
"villa","carrelee, plafonnee, vitree","oscar yaar","50000","66 92 73 75","2023-11-27"
"chambre salon","cuisine, douche, garage, plafonne, ventile, vitre","tanghin","75000","79 31 67 00","2023-11-27"
"chambre salon","carrele, chauffe eau, climatisee, cour unique, cuisine, douche, garage, placards, plafonne, ventilee, vitre","cité azimo","100000","73 90 69 01","2023-11-27"
"chambre salon","carrele, courcommune, cuisine, douche, plafonne, ventile","zone une","40000","69 01 07 75","2023-11-27"
"maison","2 chambres, carrele, cuisine, douche, garage, plafonne, ventile, vitre","song-naaba","100000","52 25 18 65","2023-11-27"
"villa","ventilé, Carrellé","toeghin","15000","66 92 73 75","2023-11-27"
"villa","ventilé, Carrellé","toeghin","35000","78 42 75 00","2023-11-27"
"villa","ventilé, Carrellé","bonheur-ville","100000","66 92 73 75","2023-11-27"
"chambre salon","auvent, carrele, courunique, cuisine, douche, garage, plafonne, ventile, vitre","sakoula","40000","69 01 07 75","2023-11-26"
"villa","ventilé, Carrellé","kouritenga","50000","55 66 03 77","2023-11-26"
"villa","ventilé, Carrellé","université de ouagadougou","80000","76 62 04 10","2023-11-26"
"villa","04 chambres, cuisine, douche, garage, placard, vitre","kouritenga","300000","73 90 69 01","2023-11-26"
"chambre salon","cour unique, cuisine, douche","kossodo","300000","","2023-11-26"
"chambre salon","auvent, carrele, climatisee, courcommune, cuisine, douche, plafonne, ventile, vitre","sakoula","70000","69 01 07 75","2023-11-26"
"mini villa","auvent, carrele, courunique, cuisine, douche, garage, plafonne, ventile, vitre","zone une","125000","69 01 07 75","2023-11-26"
"villa","ventilé, Carrellé","yagma","15000","70 50 08 24","2023-11-26"
"villa","climatisee","kamboincé","90000","69 01 07 75","2023-11-25"
"chambre salon","douche interne","camp militaire","400000","62 88 38 82","2023-11-25"
"chambre salon","carrelee, cour commune, douche interne, plafonnee","tampouy","25000","70 36 73 03","2023-11-25"
"chambre salon","carrelee, douche interne, plafonnee","kamboincé","25000","76 95 75 40","2023-11-25"
"mini villa","2 chambres, cuisine, douche","zoodnoma","80000","74 05 32 53","2023-11-25"
"chambre salon","cour unique, cuisine, douche, ventile, vitre","bonheur-ville","50000","66 92 73 75","2023-11-25"
"mini villa","auvent, carrele, courunique, cuisine, douche, garage, plafonne, ventile, vitre","tanghin","80000","69 01 07 75","2023-11-25"
"chambre salon","cuisine, douche, plafonne, ventile, vitre","kamsonghin","80000","79 31 67 00","2023-11-25"
"chambre salon","carrele, courcommune, douche interne, plafonne, ventile","sakoula","25000","69 01 07 75","2023-11-25"
"chambre salon","cuisine, douche, plafonne, ventile, vitre","rayongo","32500","64 64 52 20","2023-11-25"
"chambre salon","douche, plafonne, ventile","tanghin","60000","79 31 67 00","2023-11-25"
"villa","ventilé, Carrellé","ouidi","125000","70 36 73 03","2023-11-25"
"villa","ventilé, Carrellé","djikof","22600","66 68 93 22","2023-11-24"
"villa","2 chambres, climatisee, cuisine, douche, plafonnee, ventilee, vitree","tampouy","200000","70 36 73 03","2023-11-24"
"chambre salon","auvent, carrele, courcommune, cuisine, douche, plafonne, ventile, vitre","tanghin","50000","69 01 07 75","2023-11-24"
"chambre salon","cour commune, cuisine, douche, placards, plafonnee, ventilee, vitree","belle-ville","45000","70 36 73 03","2023-11-24"
"villa","02 chambres, carrelee, cour unique, cuisine, douche, garage, ventilee, vitree","rimkiéta","78047","70 36 73 03","2023-11-24"
"chambre salon","cuisine, douche, plafonne, ventile, vitre","rayongo","32500","64 64 52 20","2023-11-24"
